timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600379868283,46,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,1255,248,1,1,http://localhost:5000/graphql,39,0,21
1600379868331,437,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,437,0,2
1600379868769,273,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,272,0,1
1600379869044,345,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,344,0,1
1600379869389,387,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,387,0,1
1600379869776,219,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,219,0,3
1600379869995,285,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,285,0,1
1600379870281,292,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,292,0,1
1600379870574,270,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,270,0,2
1600379870845,271,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,271,0,1
1600379871117,255,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,255,0,1
1600379871373,337,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,337,0,0
1600379871711,201,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,201,0,2
1600379871913,227,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,227,0,0
1600379872147,201,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,201,0,1
1600379872348,182,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,182,0,1
1600379872530,189,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,189,0,1
1600379872720,186,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,186,0,0
1600379872906,249,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,249,0,1
1600379873156,190,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,190,0,0
1600379873346,202,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,202,0,2
1600379873548,203,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,203,0,2
1600379873752,192,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,192,0,1
1600379873944,236,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,236,0,1
1600379874180,185,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,185,0,1
1600379874366,180,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,180,0,1
1600379874547,195,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,194,0,0
1600379874742,199,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,199,0,1
1600379874941,224,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,224,0,2
1600379875165,206,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,206,0,1
1600379875372,208,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,208,0,1
1600379875580,196,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,196,0,1
1600379875777,246,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,246,0,1
1600379876023,197,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,197,0,1
1600379876220,187,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,187,0,1
1600379876408,186,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,185,0,1
1600379876594,194,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,194,0,1
1600379876788,185,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,185,0,1
1600379876974,198,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,198,0,1
1600379877177,211,query4 PostgreSQL,200,OK,Groep 1 1-1,text,true,,214,248,1,1,http://localhost:5000/graphql,211,0,2
